Address,Held,Points,Amount,
0x4cb278d8dee9a05982160e4f3851d4a62680ced2,"200,000.05",3,13846.15385,
0xb6d2757f1639f382949e56b8c75cdeb23b729b55,"199,438.19",3,13846.15385,
0xdfb60cc9f46f8784685367ab84c66037ad4261cf,"195,398.71",3,13846.15385,
0x31174b747548a56003edd1507ff11119117ef736,"193,850.83",3,13846.15385,
0xea83404d76196c89821ddcba14d3dc1111dafe81,"192,546.19",3,13846.15385,
0x2412722eb11cab4023b0979f79f58839b364aa61,"192,238.75",3,13846.15385,
0xae672dca4464c1c2d5a79f03142082824d88d031,"191,539.37",3,13846.15385,
0xb31e8e0fa531db8e18a6cb9c9db83f45a598c76a,"189,813.09",3,13846.15385,
0x038f28a39559de6c586728d60a47d914880589f1,"184,235.83",3,13846.15385,
0xdf94a7c1b948d47b33d02104a1b921614979b7e1,"181,945.57",3,13846.15385,
0xe0bde56ba27a21557c9c6b30d30fb7e5bc079d8a,"180,210.16",3,13846.15385,
0x24360f556c9dd85730f04993de51bfb42cbe4df6,"180,040.33",3,13846.15385,
0xc390128456f5e35eaab28d4061eccae0c1ac7728,"179,416.71",3,13846.15385,
0x465e0d52207b0d772eaba41b84c1f8f99cd624a0,"178,779.87",3,13846.15385,
0xbffa0adbfaa0e20b734ac365e63affeba8f1dd0c,"177,984.43",3,13846.15385,
0x70969b84378eaadc2377c6b5a5270ad1fd1683a5,"177,747.21",3,13846.15385,
0x1727a8066ecb1b54e13f07b6332150ab2e94f2c6,"177,706.38",3,13846.15385,
0xf5eed342cdfeff748debe1e50ff4accff32593f3,"176,325.25",3,13846.15385,
0x5c2248818c6cca7974eb7b5901fd4dc0e5f0f897,"175,850.35",3,13846.15385,
0x97604e74de5d9ac469ce508a746a4add11881891,"171,757.93",3,13846.15385,
0x6d2d668009e030007fda355890f61ecd29495ed2,"170,907.58",3,13846.15385,
0x7a6cc15b610a720a9eabac1fe29cf9bb1a6ee6a1,"169,610.15",3,13846.15385,
0xfbdb250fab368245a07b02387e5aff2ed6a4bda2,"167,151.04",3,13846.15385,
0xaf40195b48973085c3c0b80310323dcfed3923aa,"166,945.44",3,13846.15385,
0x0a96534f248c9b98330e377f1091712ce50a9206,"166,776.74",3,13846.15385,
0x3bd2470eabc41fe666598ee48faccc1487c140bf,"162,877.76",3,13846.15385,
0xb4cff1114e89e53d87f5d3c233db3a768820e2db,"161,391.10",3,13846.15385,
0x91ad8aff7eba4a9250693ee94a92e7f853dcf5e6,"161,268.24",3,13846.15385,
0xb1c96e906101bf27f8959e40c4392ecb9d497e89,"160,221.69",3,13846.15385,
0x5b884452ee814d59e1869ca8cc83e5dfc9995a0b,"159,986.95",3,13846.15385,
0x2ef811f96e67108b2bf224bc30944a5f7480c9fa,"158,516.40",3,13846.15385,
0xe2c6049024ce44dc33a43222e22c8869f9cd73e0,"156,442.47",3,13846.15385,
0xd5819c09522b9eaa133991ebc996880621efa4b9,"155,789.67",3,13846.15385,
0x7ac2ad1c16d30af77f52a1e3c7abad8612e363d3,"152,306.03",3,13846.15385,
0xa802a52020620b787d261e515b559315c3f99a37,"149,251.84",3,13846.15385,
0x7d773340e9d5f5b270117e5675948ba1b18c7de0,"148,984.71",3,13846.15385,
0x93845ed221a87fdf6ec4a2e87319e12e1a66e83e,"148,194.07",3,13846.15385,
0x1ddeb0c6e2d8123ef438c0c8cb964d6ee3cdc935,"147,175.31",3,13846.15385,
0x87b00f4f836e0c5d78255aeeac62566d9e51af6a,"146,172.26",3,13846.15385,
0x3d006d8e3a6eb9bbe170fafc8a1ba82fc4fe1c5c,"144,068.86",2,13846.15385,
0x8498649db6645e1a39f32e548826d6eb4e6afff2,"141,373.67",2,13846.15385,
0xa35072498ec2ae77c804babcf692fbd69fdc262d,"141,123.29",2,13846.15385,
0x6f281bb0736143cc3dbb5281918d6dc7d35339f0,"140,997.89",2,13846.15385,
0x3f8550c6ef10ed9c95ca850dee528d25fe862d74,"139,769.36",2,13846.15385,
0x8d0979a0156dc25e14034bbf199dfd4052e57723,"139,524.31",2,13846.15385,
0x64338a791ba8f0584d0059edec9a6bd246d41ba4,"139,246.92",2,13846.15385,
0x37e6f3e5934c69a2e0befe44c865eee7e5217649,"134,413.96",2,13846.15385,
0x265a335fbddad52b87f3b5297acd1111e0bc3dfe,"132,288.84",2,13846.15385,
0xe521ee483fcc5efdb4be0f6a50fef292abcdb3bc,"129,524.73",2,13846.15385,
0xb959bbfa32e9e0745018ea23586d61b92e610173,"129,004.26",2,13846.15385,
0x830b046d442d9bf37e2289ffcf8cec4a2edf7010,"128,061.39",2,13846.15385,
0xe93636aac64838fbea6928c50056090966901ab4,"127,328.33",2,13846.15385,
0xd74ff889b65a9f0ec79c8be44ae0f11d379d4df9,"126,425.37",2,13846.15385,
0x569f40fb13d9af9181e7d13724f74e9629813136,"126,015.09",2,13846.15385,
0xefcf747355306ae46f0f24bd1a8633498a2bf087,"124,618.70",2,13846.15385,
0x05d90f7d6d0a1dc67c2b8fe63044b71a09e14549,"124,008.13",2,13846.15385,
0xa2d18f6c4ccef7b82ee920c5c6ce2cae1c870abc,"122,707.00",2,13846.15385,
0xacc81e58bd20f0cfad70242ae195b80b99210b8a,"122,236.28",2,13846.15385,
0xafb6191040a845d5d062486fa9d9cb8715cbce46,"121,552.61",2,13846.15385,
0xe32fb8e45c86af8a33424628d157955dfdebeeb2,"119,806.73",2,13846.15385,
